id_appointment,nama_customer,layanan,tanggal,jam_mulai,jam_selesai,durasi_menit,id_pegawai
APN0001,Saadat Wasita,Facial,3/31/2025,13:24:00,14:24:00,60,PGW0050
APN0002,Tgk. Ghaliyati Dongoran,Perawatan Rambut,4/3/2025,0:49:00,2:19:00,90,PGW0021
APN0003,"Hardi Mardhiyah, S.Pt",Perawatan Rambut,2/20/2025,8:32:00,9:02:00,30,PGW0042
APN0004,Dariati Anggriawan,Spa,3/25/2025,15:12:00,15:42:00,30,PGW0037
APN0005,Ika Zulkarnain,Pedicure,3/22/2025,7:32:00,9:02:00,90,PGW0015
APN0006,"R. Candrakanta Yuniar, S.Sos",Perawatan Rambut,4/23/2025,5:55:00,6:25:00,30,PGW0005
APN0007,Sakura Fujiati,Spa,2/10/2025,3:05:00,4:05:00,60,PGW0050
APN0008,Patricia Usamah,Facial,4/16/2025,20:28:00,21:13:00,45,PGW0050
APN0009,Vino Purwanti,Perawatan Rambut,4/23/2025,23:10:00,0:10:00,60,PGW0024
APN0010,"Puti Suci Suryatmi, S.Ked",Pedicure,2/16/2025,11:23:00,12:23:00,60,PGW0020
APN0011,KH. Cahyadi Wijayanti,Manicure,3/3/2025,6:21:00,7:21:00,60,PGW0020
APN0012,Elma Manullang,Manicure,2/1/2025,8:35:00,9:20:00,45,PGW0034
APN0013,"Olivia Sinaga, S.Farm",Perawatan Rambut,4/22/2025,15:41:00,16:11:00,30,PGW0018
APN0014,"Ganep Habibi, S.Ked",Facial,4/21/2025,23:43:00,0:28:00,45,PGW0007
APN0015,Koko Santoso,Pedicure,3/8/2025,16:00:00,16:45:00,45,PGW0027
APN0016,Usyi Palastri,Pedicure,4/21/2025,9:25:00,9:55:00,30,PGW0025
APN0017,Tirtayasa Mandasari,Manicure,4/21/2025,14:19:00,14:49:00,30,PGW0040
APN0018,Martani Kusmawati,Facial,4/17/2025,12:44:00,14:14:00,90,PGW0038
APN0019,"Tgk. Dina Hidayat, M.Ak",Perawatan Rambut,2/26/2025,16:36:00,17:21:00,45,PGW0047
APN0020,Cakrawangsa Budiman,Pedicure,3/24/2025,8:15:00,9:00:00,45,PGW0018
APN0021,Lala Tampubolon,Facial,3/19/2025,3:22:00,4:07:00,45,PGW0012
APN0022,Adikara Permadi,Perawatan Rambut,4/26/2025,7:40:00,8:40:00,60,PGW0031
APN0023,Lasmono Mulyani,Manicure,3/5/2025,10:30:00,12:00:00,90,PGW0029
APN0024,Cut Putri Laksita,Perawatan Rambut,3/3/2025,8:22:00,9:22:00,60,PGW0044
APN0025,"dr. Patricia Prasasta, M.Kom.",Spa,4/5/2025,7:44:00,8:29:00,45,PGW0048
APN0026,Oliva Handayani,Manicure,2/20/2025,0:31:00,2:01:00,90,PGW0025
APN0027,"Kawaca Situmorang, S.T.",Perawatan Rambut,2/12/2025,18:00:00,19:00:00,60,PGW0043
APN0028,Cut Uchita Rahmawati,Pedicure,3/27/2025,0:51:00,1:51:00,60,PGW0036
APN0029,Saka Sitorus,Pedicure,4/5/2025,13:59:00,15:29:00,90,PGW0035
APN0030,"R. Tirta Mustofa, M.Pd",Facial,3/2/2025,19:49:00,21:19:00,90,PGW0003
APN0031,"R.A. Farhunnisa Riyanti, S.Pt",Pedicure,3/13/2025,9:40:00,10:25:00,45,PGW0016
APN0032,R. Irwan Dongoran,Pedicure,2/12/2025,9:09:00,10:09:00,60,PGW0031
APN0033,Wani Gunawan,Perawatan Rambut,4/7/2025,20:38:00,21:38:00,60,PGW0029
APN0034,Gaiman Samosir,Spa,3/22/2025,20:58:00,22:28:00,90,PGW0050
APN0035,Shania Halim,Facial,4/28/2025,4:44:00,5:29:00,45,PGW0041
APN0036,Aslijan Simbolon,Manicure,3/28/2025,3:36:00,4:21:00,45,PGW0014
APN0037,Garang Sirait,Facial,3/11/2025,5:56:00,7:26:00,90,PGW0019
APN0038,Erik Yuniar,Manicure,3/24/2025,20:41:00,21:26:00,45,PGW0042
APN0039,Sutan Balapati Riyanti,Spa,3/26/2025,6:00:00,7:00:00,60,PGW0046
APN0040,Najwa Melani,Manicure,4/9/2025,17:18:00,17:48:00,30,PGW0011
APN0041,"Winda Widodo, M.Kom.",Perawatan Rambut,3/14/2025,15:13:00,15:43:00,30,PGW0010
APN0042,Jessica Oktaviani,Perawatan Rambut,3/6/2025,4:14:00,4:44:00,30,PGW0018
APN0043,Heryanto Wastuti,Manicure,2/27/2025,16:17:00,17:17:00,60,PGW0032
APN0044,Adika Saptono,Spa,3/26/2025,21:46:00,22:31:00,45,PGW0025
APN0045,"Puti Faizah Nababan, M.M.",Manicure,2/11/2025,14:02:00,14:47:00,45,PGW0021
APN0046,Luhung Hidayanto,Manicure,3/11/2025,14:41:00,15:26:00,45,PGW0042
APN0047,"KH. Okto Ramadan, S.Farm",Facial,3/8/2025,5:12:00,5:57:00,45,PGW0004
APN0048,Cici Prayoga,Pedicure,3/26/2025,10:41:00,11:41:00,60,PGW0009
APN0049,"Usyi Kurniawan, M.Pd",Facial,4/4/2025,12:26:00,13:26:00,60,PGW0012
APN0050,Galak Rahayu,Manicure,3/11/2025,4:25:00,5:10:00,45,PGW0010
APN0051,Alika Sudiati,Facial,2/16/2025,10:37:00,12:07:00,90,PGW0016
APN0052,Rosman Adriansyah,Manicure,3/25/2025,16:20:00,17:20:00,60,PGW0045
APN0053,Dirja Simbolon,Manicure,3/21/2025,6:06:00,6:51:00,45,PGW0005
APN0054,Puti Febi Sihombing,Pedicure,3/20/2025,9:19:00,9:49:00,30,PGW0007
